,location,year,racial_group,employer_preference,academia_vs_alumni,event_type_preferences,event_style_preferences,panel_type,workshop_type,special_groups,subject_preferences
0,On campus,Graduate,Asian,Corporate based events,Connect with alumni,In-person,Workshop,,Interview,"['LGBTQ+', 'International student', 'Neurodivergency', 'Race', 'None (Please rank first if no subjects are of interest)', 'FLI']","['Pre-Health', 'Medical School', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Finance']"
1,On campus,Sophomore,Caucasian,Internships,Connect with alumni,Virtual,Workshop,,Resume,"['LGBTQ+', 'Race', 'FLI', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student']","['Medical School', 'Consulting', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Finance']"
2,On campus,First,Caucasian,Corporate based events,Higher academia pathways,In-person,Workshop,,Interview,"['International student', 'LGBTQ+', 'Race', 'Neurodivergency', 'FLI', 'None (Please rank first if no subjects are of interest)']","['Bio-tech', 'Medical School', 'Pre-Health', 'Consulting', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
3,Off campus (D.C.),Sophomore,Caucasian,Corporate based events,Connect with alumni,Virtual,Workshop,,Interview,"['None (Please rank first if no subjects are of interest)', 'FLI', 'Race', 'Neurodivergency', 'LGBTQ+', 'International student']","['Finance', 'Medical School', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Consulting']"
4,Off campus (D.C.),First,Caucasian,Internships,Higher academia pathways,Virtual,Panel,Q&A,,"['International student', 'LGBTQ+', 'Neurodivergency', 'FLI', 'Race', 'None (Please rank first if no subjects are of interest)']","['Pre-Health', 'Finance', 'Consulting', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School']"
5,Off campus (D.C.),Sophomore,Caucasian,Corporate based events,Higher academia pathways,Virtual,Panel,Network,,"['FLI', 'Neurodivergency', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'Race', 'International student']","['Bio-tech', 'Finance', 'Consulting', 'Medical School', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
6,Off campus (D.C.),Sophomore,Black,Corporate based events,Higher academia pathways,Virtual,Panel,Network,,"['Neurodivergency', 'LGBTQ+', 'FLI', 'None (Please rank first if no subjects are of interest)', 'International student', 'Race']","['Consulting', 'Pre-Health', 'Medical School', 'Bio-tech', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
7,Off campus (D.C.),First,Latine,Corporate based events,Connect with alumni,In-person,Workshop,,Resume,"['FLI', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student', 'Race', 'LGBTQ+']","['Consulting', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Bio-tech', 'Finance']"
8,On campus,Graduate,Latine,Corporate based events,Higher academia pathways,Virtual,Workshop,,Interview,"['FLI', 'LGBTQ+', 'International student', 'Race', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency']","['Bio-tech', 'Consulting', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Pre-Health']"
9,On campus,Sophomore,Black,Corporate based events,Higher academia pathways,Virtual,Workshop,,Interview,"['LGBTQ+', 'FLI', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student', 'Race']","['Finance', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Pre-Health', 'Consulting']"
10,Off campus (D.C.),First,Latine,Internships,Higher academia pathways,In-person,Panel,Q&A,,"['LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'International student', 'Neurodivergency', 'FLI', 'Race']","['Consulting', 'Medical School', 'Pre-Health', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech']"
11,On campus,Graduate,Asian,Internships,Connect with alumni,Virtual,Panel,Network,,"['None (Please rank first if no subjects are of interest)', 'International student', 'LGBTQ+', 'Neurodivergency', 'Race', 'FLI']","['Bio-tech', 'Pre-Health', 'Consulting', 'Finance', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
12,On campus,Graduate,Asian,Internships,Higher academia pathways,Virtual,Workshop,,Interview,"['International student', 'Race', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'FLI']","['Pre-Health', 'Bio-tech', 'Finance', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting']"
13,On campus,First,Asian,Corporate based events,Connect with alumni,In-person,Workshop,,Resume,"['None (Please rank first if no subjects are of interest)', 'Race', 'Neurodivergency', 'FLI', 'LGBTQ+', 'International student']","['Finance', 'Medical School', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting', 'Bio-tech']"
14,Off campus (D.C.),First,Latine,Corporate based events,Connect with alumni,In-person,Panel,Network,,"['International student', 'None (Please rank first if no subjects are of interest)', 'Race', 'Neurodivergency', 'FLI', 'LGBTQ+']","['Bio-tech', 'Consulting', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Pre-Health']"
15,Off campus (D.C.),Graduate,Black,Corporate based events,Connect with alumni,In-person,Workshop,,Interview,"['Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student', 'FLI', 'Race', 'LGBTQ+']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Pre-Health', 'Bio-tech', 'Consulting', 'Medical School']"
16,Off campus (D.C.),Sophomore,Black,Corporate based events,Connect with alumni,In-person,Workshop,,Resume,"['Neurodivergency', 'Race', 'None (Please rank first if no subjects are of interest)', 'International student', 'LGBTQ+', 'FLI']","['Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Pre-Health', 'Medical School', 'Bio-tech']"
17,On campus,Sophomore,Caucasian,Corporate based events,Connect with alumni,Virtual,Panel,Network,,"['LGBTQ+', 'Neurodivergency', 'FLI', 'Race', 'None (Please rank first if no subjects are of interest)', 'International student']","['Medical School', 'Consulting', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Bio-tech']"
18,Off campus (D.C.),Senior,Caucasian,Corporate based events,Higher academia pathways,Virtual,Workshop,,Resume,"['Race', 'Neurodivergency', 'LGBTQ+', 'International student', 'None (Please rank first if no subjects are of interest)', 'FLI']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Finance', 'Consulting', 'Medical School', 'Pre-Health']"
19,On campus,Sophomore,Latine,Internships,Connect with alumni,Virtual,Panel,Network,,"['Race', 'Neurodivergency', 'LGBTQ+', 'FLI', 'International student', 'None (Please rank first if no subjects are of interest)']","['Bio-tech', 'Consulting', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Finance']"
20,On campus,Senior,Asian,Internships,Connect with alumni,In-person,Workshop,,Interview,"['LGBTQ+', 'Race', 'International student', 'FLI', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency']","['Medical School', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Consulting', 'Finance']"
21,On campus,Junior,Caucasian,Corporate based events,Higher academia pathways,Virtual,Workshop,,Resume,"['Race', 'FLI', 'LGBTQ+', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student']","['Finance', 'Pre-Health', 'Consulting', 'Medical School', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
22,Off campus (D.C.),Junior,Caucasian,Internships,Connect with alumni,In-person,Panel,Network,,"['FLI', 'None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'International student', 'Neurodivergency', 'Race']","['Finance', 'Pre-Health', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Bio-tech']"
23,On campus,Senior,Latine,Corporate based events,Connect with alumni,In-person,Panel,Network,,"['None (Please rank first if no subjects are of interest)', 'Race', 'International student', 'LGBTQ+', 'Neurodivergency', 'FLI']","['Pre-Health', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Bio-tech', 'Consulting']"
24,On campus,Senior,Latine,Corporate based events,Higher academia pathways,Virtual,Workshop,,Interview,"['International student', 'LGBTQ+', 'Race', 'FLI', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Medical School', 'Consulting', 'Pre-Health', 'Bio-tech']"
25,On campus,Graduate,Black,Internships,Connect with alumni,Virtual,Panel,Q&A,,"['Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student', 'FLI', 'Race', 'LGBTQ+']","['Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Consulting', 'Medical School', 'Pre-Health']"
26,On campus,First,Black,Corporate based events,Higher academia pathways,In-person,Panel,Network,,"['None (Please rank first if no subjects are of interest)', 'International student', 'LGBTQ+', 'Neurodivergency', 'Race', 'FLI']","['Finance', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Medical School', 'Consulting']"
27,Off campus (D.C.),First,Latine,Corporate based events,Connect with alumni,In-person,Panel,Q&A,,"['FLI', 'None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'Race', 'Neurodivergency', 'International student']","['Consulting', 'Finance', 'Bio-tech', 'Pre-Health', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
28,Off campus (D.C.),Senior,Asian,Internships,Connect with alumni,Virtual,Panel,Network,,"['LGBTQ+', 'Neurodivergency', 'FLI', 'Race', 'None (Please rank first if no subjects are of interest)', 'International student']","['Pre-Health', 'Medical School', 'Consulting', 'Bio-tech', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
29,On campus,Graduate,Latine,Corporate based events,Higher academia pathways,In-person,Panel,Q&A,,"['Neurodivergency', 'International student', 'Race', 'LGBTQ+', 'FLI', 'None (Please rank first if no subjects are of interest)']","['Finance', 'Pre-Health', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting', 'Medical School']"
30,Off campus (D.C.),First,Black,Corporate based events,Connect with alumni,In-person,Panel,Network,,"['International student', 'Race', 'None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'Neurodivergency', 'FLI']","['Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Finance', 'Medical School', 'Consulting']"
31,On campus,Sophomore,Latine,Internships,Higher academia pathways,In-person,Workshop,,Interview,"['LGBTQ+', 'International student', 'Neurodivergency', 'Race', 'FLI', 'None (Please rank first if no subjects are of interest)']","['Pre-Health', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Finance', 'Medical School']"
32,Off campus (D.C.),Junior,Black,Corporate based events,Connect with alumni,Virtual,Panel,Q&A,,"['Neurodivergency', 'LGBTQ+', 'FLI', 'None (Please rank first if no subjects are of interest)', 'International student', 'Race']","['Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Bio-tech', 'Medical School', 'Finance']"
33,Off campus (D.C.),Sophomore,Asian,Internships,Connect with alumni,In-person,Panel,Q&A,,"['Race', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'International student', 'FLI', 'LGBTQ+']","['Bio-tech', 'Pre-Health', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Consulting']"
34,Off campus (D.C.),Graduate,Asian,Internships,Higher academia pathways,In-person,Workshop,,Interview,"['International student', 'Race', 'LGBTQ+', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'FLI']","['Pre-Health', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting', 'Finance', 'Medical School']"
35,On campus,Junior,Black,Corporate based events,Higher academia pathways,In-person,Workshop,,Resume,"['LGBTQ+', 'Neurodivergency', 'International student', 'None (Please rank first if no subjects are of interest)', 'Race', 'FLI']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Pre-Health', 'Consulting', 'Bio-tech', 'Medical School']"
36,Off campus (D.C.),Sophomore,Black,Corporate based events,Connect with alumni,Virtual,Workshop,,Interview,"['FLI', 'International student', 'Race', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'LGBTQ+']","['Bio-tech', 'Pre-Health', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Medical School']"
37,Off campus (D.C.),Graduate,Asian,Internships,Higher academia pathways,Virtual,Workshop,,Resume,"['None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'FLI', 'Race', 'International student', 'Neurodivergency']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Consulting', 'Finance', 'Medical School', 'Bio-tech']"
38,Off campus (D.C.),Graduate,Latine,Corporate based events,Higher academia pathways,Virtual,Workshop,,Resume,"['Race', 'International student', 'FLI', 'Neurodivergency', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)']","['Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Finance', 'Medical School', 'Consulting']"
39,On campus,Junior,Black,Internships,Connect with alumni,In-person,Workshop,,Interview,"['FLI', 'Race', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student', 'LGBTQ+']","['Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting', 'Medical School', 'Finance', 'Bio-tech']"
40,On campus,Graduate,Black,Corporate based events,Connect with alumni,Virtual,Panel,Network,,"['Race', 'None (Please rank first if no subjects are of interest)', 'International student', 'FLI', 'Neurodivergency', 'LGBTQ+']","['Bio-tech', 'Medical School', 'Consulting', 'Pre-Health', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
41,On campus,Junior,Asian,Internships,Higher academia pathways,Virtual,Panel,Q&A,,"['International student', 'FLI', 'LGBTQ+', 'Neurodivergency', 'Race', 'None (Please rank first if no subjects are of interest)']","['Finance', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Medical School', 'Pre-Health']"
42,Off campus (D.C.),Senior,Latine,Internships,Connect with alumni,In-person,Workshop,,Interview,"['International student', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'FLI', 'LGBTQ+', 'Race']","['Pre-Health', 'Consulting', 'Medical School', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech']"
43,Off campus (D.C.),Senior,Black,Internships,Connect with alumni,In-person,Workshop,,Interview,"['Race', 'None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'Neurodivergency', 'International student', 'FLI']","['Pre-Health', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting', 'Medical School', 'Bio-tech']"
44,On campus,Senior,Asian,Internships,Connect with alumni,Virtual,Panel,Q&A,,"['Race', 'LGBTQ+', 'FLI', 'International student', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency']","['Consulting', 'Pre-Health', 'Bio-tech', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance']"
45,On campus,Senior,Latine,Internships,Higher academia pathways,Virtual,Panel,Network,,"['Race', 'Neurodivergency', 'FLI', 'International student', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)']","['Bio-tech', 'Medical School', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Finance']"
46,Off campus (D.C.),First,Black,Internships,Connect with alumni,Virtual,Workshop,,Interview,"['LGBTQ+', 'International student', 'Race', 'FLI', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency']","['Medical School', 'Consulting', 'Finance', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health']"
47,Off campus (D.C.),Sophomore,Latine,Corporate based events,Higher academia pathways,Virtual,Workshop,,Resume,"['LGBTQ+', 'International student', 'Race', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'FLI']","['Pre-Health', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting', 'Bio-tech', 'Medical School']"
48,Off campus (D.C.),First,Caucasian,Internships,Higher academia pathways,In-person,Workshop,,Interview,"['International student', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'FLI', 'Neurodivergency', 'Race']","['Consulting', 'Medical School', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Finance']"
